"SRR8750453","SRR8750454","SRR8750455","SRR8750456","SRR8750457","SRR8750458","SRR8750459","SRR8750460","SRR8750461","SRR8750462","SRR8750637","SRR8750638","SRR8750639","SRR8750640","SRR8750641","SRR8750642","SRR8750643","SRR8750644","SRR8750645","SRR8750646"
"(CATTC)n",214.872572015174,46.2015500213029,103.990638125004,146.971976425266,99.3570136629655,75.437763270248,429.137583168091,390.688133717308,804.890148567453,86.8655632113495,8.96515084521857,23.0668747756695,19.6381031794009,17.6078226895823,15.8810945534719,171.706992704125,110.816706227403,65.0929325717042,25.6925765558768,8.37658796565114
"(GAATG)n",89.7658442300231,83.3439725874485,44.5674163392872,42.591878882424,45.3026798048754,71.1270339405195,138.644449946614,127.655076249493,295.901811843295,71.5924971522111,6.72386313391392,4.1939772319399,1.40272165567149,1.46731855746519,2.11747927379626,2.96046539145043,6.15648367930018,7.33441493765681,6.11728013235161,0
"7SK",46.6499662927679,66.1316304226493,35.282537935269,41.9919932643617,43.7582702660729,54.4229577878217,43.3853380785322,44.52027570267,55.8305305364707,65.8650973800342,199.474606306113,234.862724988634,206.200083383709,180.480182568218,218.100365201015,350.815148886876,364.771657998536,137.520280081065,216.551716685247,184.284935244325
"ACRO1",19.0840771197687,8.1532147096417,10.5228621912206,8.39839865287234,7.207244514412,14.0098703216175,22.1642488009893,16.8086755203958,14.8881414763922,34.3643986330613,141.201125812192,94.3644877186478,67.3306394722316,52.8234680687469,56.1132007556008,119.898848353742,136.981761864429,55.0081120324261,42.8209609264613,265.258618912286
"ALR/Alpha",330.790670075991,404.037084500022,311.352922481409,458.312612199605,426.25703270951,356.71285203503,358.400618909614,327.996316911508,281.013670366903,499.238346808086,2.24128771130464,6.29096584790985,1.40272165567149,2.93463711493038,7.4111774582869,2.96046539145043,12.3129673586004,8.25121680486392,6.11728013235161,0
"AluJb",62446.6344242387,58046.3591689213,85058.1520673169,90056.0287547501,77314.6859219956,64942.2150346916,61666.1275417312,79076.1868414383,70118.4938095959,54917.1727155181,41927.7692153759,43550.2595764639,43330.0719436923,46813.3312573694,49338.3258190897,99020.1661805382,97378.6414764108,61319.3760862798,47296.3630712897,42991.4416357102
"AluJo",31691.5839192248,29162.2371908973,42901.0901617128,43523.5012472748,37875.6143327739,31958.6695682743,30838.0153583637,37867.2202162863,34759.1578031644,27690.0687652179,16081.2393286108,15949.6954130674,15514.1015117267,17469.8947451806,17489.3200619202,31252.1529048464,30603.8803698012,20864.5768938992,16311.1157449023,16714.0851874626
"AluJr4",7022.23356240378,6799.78106784118,9000.14213296161,9575.37423551059,8651.78223637201,7493.6640985667,7244.87987935316,8352.09457952641,7907.46414164881,6195.137420238,3283.4864970613,3581.65655607668,3397.39185003635,3951.48887525376,4171.43416937863,7100.67624139385,6673.6283083614,4922.30922503493,4058.20363980206,3428.81667393987
"AluJr",33225.3782655173,31381.7234174109,45679.125780195,46741.287702561,40452.7190498558,34777.8865499167,33859.4268917241,40573.8712635976,37005.4061484151,29878.8900448181,40125.773895487,42078.173568053,42091.4687217344,44778.1604181652,46014.9420988665,89460.8234315448,85632.070616306,56901.3078882088,44127.6119627316,42324.1067944467
"AluSc5",3240.75902200517,3111.81028084658,4670.91282911474,5586.73476101429,4620.8733400973,3503.5452627368,3299.17201301534,4516.53654118311,3977.92530072354,2847.47225340061,1342.53133907148,1283.35703297361,1279.2821499724,1429.1682749711,1636.81147864451,4739.70509171214,4495.77220680896,2178.32123648407,1567.24716990848,1317.91650659578
"AluSc8",11954.4072713573,11152.6918100443,17075.510376883,19276.1245651962,16246.1587418439,12657.3789944152,11793.7382609349,16305.3238318391,14148.386946784,10276.8643245427,8922.56637870378,8522.16173530188,8879.22808040054,9811.95919376973,10229.5423717097,20961.5752041648,20964.3660489369,12546.4335527292,9370.44970673619,9138.8574705254
"AluSc",17646.4099767461,16553.7435988092,24679.2067978803,28708.726023608,23999.6094298124,19020.5543262606,17753.0917098307,24606.5380962767,20881.5489294823,15440.1152191602,17932.5429781484,16897.5342674859,17005.1946317055,17612.2246452547,19241.5341609866,36878.517381298,38361.0498057194,21982.1583700247,17512.5495628962,18679.791163402
"AluSg4",4121.45384019894,3826.5754370585,5999.88842467654,6727.11732095074,5248.93321921034,4289.71452424603,3978.24686989672,5852.59910079079,4706.51372422448,3573.89745783838,4475.85155947537,4732.90330624418,4648.61956689532,5446.68648531079,5468.39022457884,10946.320784888,11697.3189906703,6490.04041795907,4830.20439250483,4794.200512341
"AluSg7",4383.68319617798,4031.31171754506,6211.58365228816,6929.27877423774,5831.69041851851,4559.13510735406,4288.54635311057,6074.74619077656,5331.81566623296,3858.35831318983,2801.6096391308,2734.47315522482,2851.73312598014,2974.25471598194,3189.98252597406,6365.00059161842,6684.40215480017,3701.12913791507,2793.15010843174,2878.75406419544
"AluSg",21430.7117878291,20090.4269573027,30505.7774923485,33723.1699049908,27870.9293404108,22255.7566882218,21888.3746403812,29909.4480786978,25937.933978402,19917.9872743738,21189.1340226741,20596.6221860569,21449.0168368728,22341.392355965,22915.3607010231,41853.5794716304,42559.7716750022,26229.7014207952,21389.6817107806,21485.9481318952
"AluSp",28373.7817710694,25899.1394815496,40380.5551709686,44957.2278744437,35957.4576855811,29671.8276588534,27936.8566642427,38648.1421951933,32890.6960478772,25448.7463210393,29434.8315125639,29496.2418722333,30636.843681521,32298.6160869238,34533.9694763432,67731.0074582986,68964.9301755206,40736.2573656131,31833.1023527313,31132.9852723368
"AluSq10",825.563039847772,760.060793487709,1223.12798175599,1349.7426406402,1092.41234711302,899.325906414599,839.411975867254,1171.15582409677,1010.53260271012,807.563367876941,493.083296487021,517.956188144578,576.518600480983,542.907866262121,613.010249764017,1637.13736147209,1680.72004444895,816.870463681528,561.566316149878,597.529941549782
"AluSq2",28621.1679559553,26500.6655445721,40717.2867610877,44938.0315346657,37415.3802902107,29923.4664834763,28517.8429306856,38110.7188670683,33003.2876177924,25622.477447462,23152.5020577769,22787.9752897455,24112.7852609929,25196.7942687923,27160.9066449846,52352.8699824094,54780.391778413,31500.3953553688,25655.8728750826,24853.3364940869
"AluSq4",742.158554657672,722.012458176048,1119.13734363099,1144.58175926289,1029.09155602211,787.246943841659,737.550747335048,998.980472144605,956.563089858199,651.014440770773,809.104863780976,757.012890365152,858.465653270952,859.848674674602,841.698011334012,2543.03977125592,2308.68137973757,1062.57336409303,811.151345549823,857.204168484967
"AluSq",11704.193815787,10662.5930147203,17657.9817487618,19415.8979142047,15888.3705320213,12517.280291199,11775.3466502277,16636.9544569712,13641.2596277444,10438.1860847924,4899.45493691195,4825.17080534686,4868.84686683574,5502.44459049447,5466.27274530504,11152.0731295938,10843.1068801674,6899.85085260065,5025.95735674008,4852.83662810056
"AluSx1",56828.1407566446,50888.7425666014,80312.96021097,86105.7819598098,71854.6833991489,57603.1983508289,55040.9034692823,76268.6837410046,66616.9890361169,50492.7563915115,45291.9420700442,45506.7499551639,47167.9183936095,50785.3625924277,52302.7968024045,102463.187430795,104652.526943504,62439.7079680069,49553.6394401274,48196.0949583681
"AluSx3",15775.4636013377,15336.196868836,23141.6309341749,26187.4067708921,21895.6088347837,17300.5733236989,15976.1791676578,22491.8250003999,18988.893944296,14101.8128057282,14633.367467108,14651.659459782,14940.388354557,16265.2262095016,17379.2111396828,37442.4860383693,37833.1313302194,20970.009108628,15849.872822923,15471.5579725577
"AluSx4",2772.13890606418,2790.21125618849,3940.50239466531,4421.15700511922,3776.08132237229,3005.11718398695,2770.53110012366,3751.51466074131,3285.6267220713,2474.23670158042,5533.73935921116,5485.72221937739,5514.09882844463,5656.51303902831,5962.82163501026,11757.4883021454,11731.1796509065,6889.76603206137,5291.44731448414,5693.28762065423
"AluSx",64336.6648767669,59099.9356919561,92157.3700950292,99069.3101661363,81991.1580054897,66143.2919941872,62062.2545415786,85624.755966479,73486.9358186296,57535.5489780316,51166.3571613737,51302.8264897048,51628.5732586449,54772.0671130606,57208.9962797904,110564.500974499,112051.081205103,68121.1291390893,54092.6612983323,53230.4243257245
