"baseMean","log2FoldChange","lfcSE","pvalue","padj"
"(CATTC)n",143.262889212613,-2.07398972963009,0.627449539886353,8.55922898970445e-05,0.000211216115895807
"(GAATG)n",52.4483332484868,-4.582840398465,0.438751083997203,2.43538288395263e-26,4.15319759674065e-25
"7SK",139.545014950519,2.19380053182441,0.168425047945694,7.6537310924158e-40,2.03036477590475e-38
"ACRO1",59.3701177928568,2.65114529876876,0.331080813436665,7.88964499595749e-17,6.3852635348639e-16
"ALR/Alpha",190.201742323652,-6.07391607882816,0.264359392955014,5.04806115332329e-116,9.64179680284749e-114
"AluJb",63830.3901271209,-0.279270097368104,0.166803808079083,0.0821813435557854,0.122438663175936
"AluJo",27325.8610362304,-0.785580877008817,0.142847480356741,1.37973353390676e-08,5.45516850781537e-08
"AluJr4",6140.58226953805,-0.792683209570063,0.141510142093254,1.08706726793823e-08,4.4176563441745e-08
"AluJr",45355.5077254778,0.49660935914424,0.15409510790333,0.000973401427664269,0.00204307332619643
"AluSc5",3032.292704564,-0.827418295342185,0.24595473946117,0.000337698820799316,0.000746533272831821
"AluSc8",13011.6862433409,-0.232409908265503,0.179433834034663,0.1935158044117,0.256677212796074
"AluSc",21569.6320537394,0.0786670452282386,0.167173283663164,0.617425477508842,0.684833137074267
"AluSg4",5592.77380799796,0.373202252685327,0.184677910789655,0.03669573241887,0.0587413526580949
"AluSg7",4423.7319304342,-0.459380034724105,0.179568277881931,0.00881044415577229,0.0159961486098147
"AluSg",25777.0362327827,0.0444450204144558,0.152820585014756,0.761222510135634,0.812254186792771
"AluSp",36348.1608062452,0.249616229130447,0.171694639923049,0.131420720936247,0.186488541596012
"AluSq10",900.809840412566,-0.286955250867218,0.219296023471578,0.171103751318758,0.232769348304008
"AluSq2",32246.2077720315,-0.0975511579330547,0.169965554836669,0.575279779476217,0.647868147877108
"AluSq4",1029.85587441235,0.367033212865176,0.218406624002332,0.077650112815119,0.116597260595029
"AluSq",10233.7039464263,-1.0980726997078,0.180345381099668,4.10608504090918e-10,1.96065560703413e-09
"AluSx1",63018.6383218185,-0.0890015032205057,0.167347732311193,0.560972204780666,0.634749354935469
"AluSx3",19831.6250577567,0.0907884503885094,0.188595642562321,0.593558873035649,0.661427522867752
"AluSx4",5125.15906271182,1.04837569383335,0.167855746526634,1.47438871440748e-10,7.4499535569267e-10
"AluSx",70282.2921689803,-0.172707066695913,0.164201246181663,0.34274052350119,0.425765981247842
"AluSz6",23319.8959594372,-0.108392861613023,0.165217072276941,0.512724384922409,0.589941912772169
"AluSz",60961.9478496634,0.231744018012663,0.168582994148808,0.158121476201999,0.218532575648204
"AluY",77514.3991726665,-0.433989497166631,0.216114228573496,0.0345905793155425,0.0557065822029394
"AluYa5",1786.74673237626,-5.26983972989466,0.198561397277178,2.12095607213628e-156,5.06378262222537e-154
"AluYa8",100.935342923462,-1.45369507105429,0.208948730622751,7.88614764722568e-13,4.82773782250034e-12
"AluYb8",1176.68077575302,-5.54763207637858,0.318973704236515,9.02279578053812e-69,5.06868821789053e-67
"AluYb9",156.991200251424,-5.47786375401281,0.244315290112436,4.69631652333325e-111,7.47497046630543e-109
"AluYc3",383.323134121007,-0.370239957622373,0.218462020542321,0.0763998924714322,0.115202709906805
"AluYc",3362.28401491484,-0.21153592328228,0.248648918662139,0.377660304590669,0.458279022724382
"AluYd8",213.758327694607,-3.71153417319785,0.663400900895524,1.27709561010422e-09,5.78021946753332e-09
