"SRR8750453","SRR8750454","SRR8750455","SRR8750456","SRR8750457","SRR8750458","SRR8750459","SRR8750460","SRR8750461","SRR8750462","SRR8750637","SRR8750638","SRR8750639","SRR8750640","SRR8750641","SRR8750642","SRR8750643","SRR8750644","SRR8750645","SRR8750646"
"(CATTC)n",304,51,168,245,193,140,910,860,865,91,4,11,14,12,15,116,72,71,21,3
"(GAATG)n",127,92,72,71,88,132,294,281,318,75,3,2,1,1,2,2,4,8,5,0
"7SK",66,73,57,70,85,101,92,98,60,69,89,112,147,123,206,237,237,150,177,66
"ACRO1",27,9,17,14,14,26,47,37,16,36,63,45,48,36,53,81,89,60,35,95
"ALR/Alpha",468,446,503,764,828,662,760,722,302,523,1,3,1,2,7,2,8,9,5,0
"AluJb",88349,64075,137414,150122,150183,120522,130765,174066,75355,57531,18707,20768,30890,31904,46601,66895,63269,66884,38658,15397
"AluJo",44837,32191,69308,72553,73573,59310,65393,83355,37355,29008,7175,7606,11060,11906,16519,21113,19884,22758,13332,5986
"AluJr4",9935,7506,14540,15962,16806,13907,15363,18385,8498,6490,1465,1708,2422,2693,3940,4797,4336,5369,3317,1228
"AluJr",47007,34641,73796,77917,78579,64542,71800,89313,39769,31301,17903,20066,30007,30517,43462,60437,55637,62065,36068,15158
"AluSc5",4585,3435,7546,9313,8976,6502,6996,9942,4275,2983,599,612,912,974,1546,3202,2921,2376,1281,472
"AluSc8",16913,12311,27586,32133,31558,23490,25009,35892,15205,10766,3981,4064,6330,6687,9662,14161,13621,13685,7659,3273
"AluSc",24966,18273,39870,47857,46619,35299,37646,54165,22441,16175,8001,8058,12123,12003,18174,24914,24924,23977,14314,6690
"AluSg4",5831,4224,9693,11214,10196,7961,8436,12883,5058,3744,1997,2257,3314,3712,5165,7395,7600,7079,3948,1717
"AluSg7",6202,4450,10035,11551,11328,8461,9094,13372,5730,4042,1250,1304,2033,2027,3013,4300,4343,4037,2283,1031
"AluSg",30320,22177,49283,56216,54139,41303,46415,65838,27875,20866,9454,9822,15291,15226,21644,28275,27652,28610,17483,7695
"AluSp",40143,28589,65236,74943,69847,55066,59241,85074,35347,26660,13133,14066,21841,22012,32618,45757,44808,44433,26019,11150
"AluSq10",1168,839,1976,2250,2122,1669,1780,2578,1086,846,220,247,411,370,579,1106,1092,891,459,214
"AluSq2",40493,29253,65780,74911,72679,55533,60473,83891,35468,26842,10330,10867,17190,17172,25654,35368,35592,34359,20970,8901
"AluSq4",1050,797,1808,1908,1999,1461,1564,2199,1028,682,361,361,612,586,795,1718,1500,1159,663,307
"AluSq",16559,11770,28527,32366,30863,23230,24970,36622,14660,10935,2186,2301,3471,3750,5163,7534,7045,7526,4108,1738
"AluSx1",80400,56174,129748,143537,139577,106902,116716,167886,71592,52896,20208,21701,33626,34611,49401,69221,67995,68106,40503,17261
"AluSx3",22319,16929,37386,43654,42532,32107,33878,49510,20407,14773,6529,6987,10651,11085,16415,25295,24581,22873,12955,5541
"AluSx4",3922,3080,6366,7370,7335,5577,5875,8258,3531,2592,2469,2616,3931,3855,5632,7943,7622,7515,4325,2039
"AluSx",91023,65238,148883,165147,159267,122751,131605,188481,78975,60274,22829,24465,36806,37328,54035,74694,72802,74303,44213,19064
"AluSz6",30085,21891,46972,52017,51982,41259,44845,59666,26519,19762,7721,8234,12303,12183,18068,26252,25058,24156,14861,6320
"AluSz",69027,49621,110063,123170,118777,92615,101432,140447,60610,45488,22264,23846,36618,36619,52271,77097,73860,73661,44344,18281
"AluY",103202,75670,173632,212747,205937,152191,157079,241748,94993,66176,19382,20857,32145,32807,51626,83529,86619,74565,36735,16073
"AluYa5",3881,3196,6656,8145,7963,6102,6274,8849,3628,2573,31,30,31,45,71,109,106,96,60,32
"AluYa8",151,131,291,371,369,292,270,356,140,103,17,27,29,20,62,65,53,59,29,10
"AluYb8",2565,2126,4746,5742,5302,4179,4085,5513,2106,1639,5,11,11,25,40,72,86,61,20,10
"AluYb9",354,284,572,706,661,561,546,663,347,277,0,2,1,3,8,10,1,11,6,5
"AluYc3",467,383,848,960,988,730,827,1161,486,329,86,94,142,181,253,448,418,413,204,88
"AluYc",4169,3167,7095,8852,8431,6152,6335,9246,3829,2506,744,923,1247,1335,2546,4352,4606,3858,1615,673
"AluYd8",475,206,1462,874,502,435,610,676,685,351,0,2,9,2,10,71,65,10,4,5
"AluYg6",508,412,944,1143,1091,797,811,1223,517,313,17,11,24,31,49,42,56,74,22,11
"AluYh9",72,37,125,171,136,101,93,152,59,37,42,18,57,29,50,48,45,59,50,13
"AluYk11",266,285,385,468,462,413,474,525,275,216,5,10,10,22,23,21,15,52,11,4
"AluYk12",170,122,220,277,250,220,247,277,192,96,4,1,3,2,1,4,1,9,2,2
